,ndays,justvalue,累计买入金额,累计卖出金额,股票剩余资产,开始日期,结束日期,IRR
60,1170,0.05000000000000002,181700.0,58200.0,245220.55,20150710,20191101,0.43804867132084535
61,1170,0.040000000000000015,196800.0,52700.0,277504.55,20150710,20191101,0.4354927227883998
62,1170,0.030000000000000013,212200.0,47700.0,309427.52,20150710,20191101,0.4330976197890024
63,1170,0.02000000000000001,228200.0,43200.0,341486.92,20150710,20191101,0.43096897044028193
64,1170,0.01000000000000001,245200.0,39402.12,374081.77,20150710,20191101,0.4292716884785719
65,1170,1.0408340855860843e-17,262200.0,35800.0,406324.05,20150710,20191101,0.4276857669810452
66,1160,0.1,112900.0,93700.0,81968.44,20150710,20191101,0.47772404790733525
67,1160,0.09000000000000001,125800.0,86200.0,113891.41,20150710,20191101,0.46565194932099985
68,1160,0.08000000000000002,139100.0,78900.0,146175.41,20150710,20191101,0.45751448450477294
69,1160,0.07000000000000002,152200.0,71600.0,178101.42,20150710,20191101,0.4512590672578698
70,1160,0.06000000000000002,165800.0,64800.0,210024.39,20150710,20191101,0.44622191041741033
71,1160,0.05000000000000002,180200.0,58500.0,242485.87,20150710,20191101,0.44251793675460505
72,1160,0.040000000000000015,195100.0,52900.0,274589.35,20150710,20191101,0.4393580714955103
73,1160,0.030000000000000013,210500.0,47900.0,306512.32,20150710,20191101,0.43659747430679907
74,1160,0.02000000000000001,226600.0,43400.0,338752.23,20150710,20191101,0.4342858939203387
75,1160,0.01000000000000001,243400.0,39500.0,371166.58,20150710,20191101,0.43219818013697786
76,1160,1.0408340855860843e-17,260400.0,35902.12,403403.45,20150710,20191101,0.43040084152028424
77,1150,0.1,111400.0,93900.0,79319.85,20150710,20191101,0.487421405426014
78,1150,0.09000000000000001,124300.0,86400.0,111242.82,20150710,20191101,0.4732700418208058
79,1150,0.08000000000000002,137500.0,79000.0,143526.82,20150710,20191101,0.4637708890342873
80,1150,0.07000000000000002,150600.0,71700.0,175452.83,20150710,20191101,0.45655742460035675
81,1150,0.06000000000000002,164100.0,64800.0,207375.8,20150710,20191101,0.4508047850573238
82,1150,0.05000000000000002,178600.0,58600.0,239837.28,20150710,20191101,0.4465531492293895
83,1150,0.040000000000000015,193400.0,52900.0,271940.76,20150710,20191101,0.44296102744829646
84,1150,0.030000000000000013,209000.0,48100.0,303863.73,20150710,20191101,0.43984907861951417
85,1150,0.02000000000000001,225000.0,43600.0,335970.26,20150710,20191101,0.43747773563522774
86,1150,0.01000000000000001,241800.0,39700.0,368384.6,20150710,20191101,0.4351230095935854
87,1150,1.0408340855860843e-17,258700.0,36002.12,400621.47,20150710,20191101,0.43310058534189455
88,1140,0.1,109600.0,94700.0,75356.0,20150710,20191101,0.49754391250780294
89,1140,0.09000000000000001,122500.0,87200.0,107278.97,20150710,20191101,0.4810400675870019
90,1140,0.08000000000000002,135600.0,79700.0,139562.97,20150710,20191101,0.4700455043682217
