,ndays,justvalue,累计买入金额,累计卖出金额,股票剩余资产,开始日期,结束日期,IRR
0,1220,0.01,1678627.0,20469.0,2464508.0,20111128,20191028,0.13608564415428237
1,1220,0.0,1702324.0,17893.0,2499495.0,20111128,20191028,0.13604514445291205
2,1220,-0.01,1736022.0,14507.0,2548714.0,20111128,20191028,0.1360506229890701
3,1210,0.01,1678458.0,20469.0,2463322.0,20111114,20191028,0.1351586616596956
4,1210,0.0,1711573.0,18511.0,2510169.0,20111114,20191028,0.13515301866287022
5,1210,-0.01,1736765.0,15728.0,2546935.0,20111114,20191028,0.13514582808260567
6,1200,0.01,1678035.0,20469.0,2460357.0,20111031,20191028,0.13420299238420252
7,1200,0.0,1710921.0,19814.0,2507204.0,20111031,20191028,0.13433185881115417
8,1200,-0.01,1741669.0,15728.0,2551679.0,20111031,20191028,0.1342299109294176
9,1190,0.01,1675914.0,20469.0,2457392.0,20111017,20191028,0.1334693085473626
10,1190,0.0,1709945.0,20469.0,2504239.0,20111017,20191028,0.13346184465237165
11,1190,-0.01,1745265.0,17893.0,2555237.0,20111017,20191028,0.13358984430138499
12,1180,0.01,1681227.0,21078.0,2465694.0,20110926,20191028,0.13287685453362563
13,1180,0.0,1711665.0,20469.0,2508390.0,20110926,20191028,0.1329063767665284
14,1180,-0.01,1747487.0,18511.0,2558795.0,20110926,20191028,0.13301608963338651
15,1170,0.01,1681598.0,21703.0,2464508.0,20110909,20191028,0.1320087502134193
16,1170,0.0,1712292.0,20469.0,2508983.0,20110909,20191028,0.13216455197795351
17,1170,-0.01,1746172.0,18511.0,2557016.0,20110909,20191028,0.13224154252726716
18,1160,0.01,1679232.0,21703.0,2461543.0,20110826,20191028,0.1312184143173134
19,1160,0.0,1716595.0,20469.0,2514320.0,20110826,20191028,0.13130786126962501
20,1160,-0.01,1748995.0,18511.0,2560574.0,20110826,20191028,0.13143962076307414
21,1150,0.01,1680508.0,23491.0,2460950.0,20110812,20191028,0.13052889700511106
22,1150,0.0,1715808.0,20469.0,2511948.0,20110812,20191028,0.13052856919248956
23,1150,-0.01,1748642.0,18511.0,2559388.0,20110812,20191028,0.13064141674647978
24,1140,0.01,1682243.0,25374.0,2461543.0,20110729,20191028,0.12990699668107286
25,1140,0.0,1712340.0,21703.0,2505425.0,20110729,20191028,0.12977485515075493
26,1140,-0.01,1746593.0,20469.0,2553458.0,20110729,20191028,0.1298959502515018
27,1130,0.01,1676667.0,27780.0,2448497.0,20110715,20191028,0.12902543997472815
28,1130,0.0,1711282.0,21703.0,2501867.0,20110715,20191028,0.12894313540812163
29,1130,-0.01,1745448.0,20469.0,2549900.0,20110715,20191028,0.12896964026005708
